"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/04/12 3:17:59 PM GMT+5:30","Masters","Science","CHEMISTRY","I","Local","Female","SC","Very Good","Good","Good","Average","Good","Average","Average","Good","Average","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Good","Good","Good","Average","Average","Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Very Good","Good","Averge","Averge","Good","Good","Good","Very Good","Good","Good","Excellent","Please give science students bsc or msc some industrial tour so that we can see things practically and enhance our skills."
"2022/04/12 3:19:26 PM GMT+5:30","M.Phil","Education","CIE, Department of Education","I;II","PG/Rented","Male","SC","Average","Average","Good","Good","Good","Average","Average","Good","Average","Not applicable","Very Good","Average","Average","Good","Below Average","Not applicable","Not applicable","Not applicable","Don't know","Not applicable","Good","Good","Not applicable","Not applicable","Not applicable","Not applicable","Good","Good","Good","Good","Good","Don't Know","Good","Average","Not  Applicable","Not  Applicable","Not  Applicable","Good","Averge","Averge","Averge","Very Good","Good","Good","Averge","Averge","Very Good","Average","Good","NA"
"2022/04/12 3:19:33 PM GMT+5:30","Masters","Science","computer science","II","PG/Rented","Male","ST","Very Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Very Good","Good","Good","Not applicable","Very Good","Not applicable","Very Good","Excellent","Average","Very Good","Don't know","Don't know","Very Good","Very Good","Don't know","Don't know","Don't know","Don't know","Excellent","Excellent","Excellent","Excellent","Very Good","Don't Know","Don't Know","Don't Know","Don't Know","Excellent","Don't Know","Very Good","Excellent","Not Applicable","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Excellent","Excellent","no suggestion for now."
"2022/04/12 3:19:38 PM GMT+5:30","Masters","Mathematical Sciences","Statistics","IV","PG/Rented","Female","General","Good","Good","Good","Very Good","Good","Average","Good","Good","Good","Below Average","Average","Average","Good","Good","Good","Good","Average","Don't know","Don't know","Average","Very Good","Very Good","Don't know","Don't know","Good","Good","Excellent","Excellent","Don't Know","Don't Know","Excellent","Don't Know","Excellent","Good","Don't Know","Don't Know","Excellent","Good","Averge","Excellent","Very Good","Very Good","Good","Good","Averge","Good","Good","Good","Good","Labs need to have more computers"
"2022/04/12 3:19:52 PM GMT+5:30","Ph.D","Education","Department of Education","I","Local","Female","OBC","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Excellent","Excellent","Excellent","Excellent","Good","Good","Very Good","Very Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Good","Very Good","Good","Good","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Very Good","Excellent","Very Good","Excellent","Very Good","Very Good","No suggestions"
"2022/04/12 3:20:55 PM GMT+5:30","Masters","Science","Chemistry department ","II","PG/Rented","Male","General","Good","Average","Average","Good","Good","Good","Very Good","Good","Average","Good","Below Average","Not applicable","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Below Average","Below Average","Average","Good","Average","Don't Know","Average","Average","Don't Know","Don't Know","Good","Average","Don't Know","Don't Know","Don't Know","Good","Good","Averge","Good","Averge","Good","Good","Good","Averge","Good","Average","Very Good","Avail hostels for each and every post graduate students "
"2022/04/12 3:21:23 PM GMT+5:30","Masters","Mathematical Sciences","Department of Statistics ","IV","NCR","Female","General","Average","Average","Average","Good","Average","Average","Average","Below Average","Average","Below Average","Average","Not applicable","Not applicable","Not applicable","Not applicable","Below Average","Below Average","Average","Average","Below Average","Average","Not applicable","Not applicable","Not applicable","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Average","Average","Averge","Averge","Below Average","Averge","Averge","Averge","Below Average","Averge","Below Average","Averge","Average","Average","N.A."
"2022/04/12 3:22:37 PM GMT+5:30","Masters","Mathematical Sciences","Department of statistics","IV","PG/Rented","Female","OBC","Good","Good","Very Good","Good","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Excellent","Good","Average","Good","Very Good","Average","Average","Good","Good","Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Good","Good","Very Good","Very Good","Good","Very Good","Very Good","Excellent","Very Good","Very Good","Good","Very Good","Very Good","Very Good","Good","Very Good","No"
"2022/04/12 3:22:57 PM GMT+5:30","Masters","Mathematical Sciences","Statistics","I","PG/Rented","Female","OBC","Very Good","Good","Very Good","Very Good","Good","Average","Average","Average","Average","Average","Good","Average","Good","Good","Good","Very Good","Average","Average","Average","Average","Average","Average","Average","Below Average","Average","Average","Good","Average","Below Average","Average","Average","Average","Average","Average","Average","Good","Good","Averge","Below Average","Below Average","Below Average","Averge","Averge","Below Average","Below Average","Averge","Averge","Average","Good","Nothing"
"2022/04/12 3:22:58 PM GMT+5:30","Masters","Science","Chemistry","IV","PG/Rented","Female","General","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Below Average","Don't know","Don't know","Below Average","Below Average","Good","Below Average","Average","Average","Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Good","Averge","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Students should be heard and understood. "
"2022/04/12 3:25:08 PM GMT+5:30","Masters","Mathematical Sciences","Statistics","I","PG/Rented","Female","General","Very Good","Good","Good","Good","Very Good","Good","Good","Very Good","Very Good","Don't know","Average","Don't know","Excellent","Don't know","Excellent","Don't know","Don't know","Don't know","Don't know","Don't know","Excellent","Excellent","Don't know","Don't know","Don't know","Don't know","Excellent","Not  Applicable","Very Good","Very Good","Very Good","Very Good","Very Good","Don't Know","Very Good","Very Good","Very Good","Excellent","Good","Good","Very Good","Good","Good","Good","Excellent","Good","Excellent","Very Good","Very Good","Inclusion of more practical things in the syllabus"
"2022/04/12 3:26:23 PM GMT+5:30","Masters","Science","Chemistry ","IV","PG/Rented","Male","General","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Averge","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Below Average","Below Average","Below Average","There is no generator for lab . "
"2022/04/12 3:28:30 PM GMT+5:30","Masters","Mathematical Sciences","Statistics","IV","NCR","Female","General","Below Average","Below Average","Below Average","Excellent","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","NA"
"2022/04/12 3:28:54 PM GMT+5:30","Masters","Science","Department of chemistry","I","PG/Rented","Female","OBC","Good","Good","Good","Good","Very Good","Very Good","Very Good","Good","Good","Not applicable","Excellent","Good","Very Good","Very Good","Very Good","Excellent","Very Good","Very Good","Good","Good","Good","Good","Good","Not applicable","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Average","Average","For next semester will prefer online obe , had a very good experience with it and surfers through a lot of books....very knowledgeable.
"
"2022/04/12 3:29:09 PM GMT+5:30","Masters","Science","Department of Computer Science ","VI","Local","Female","General","Very Good","Excellent","Very Good","Very Good","Very Good","Excellent","Good","Good","Very Good","Very Good","Very Good","Very Good","Excellent","Excellent","Good","Very Good","Good","Very Good","Good","Average","Good","Very Good","Very Good","Good","Very Good","Good","Excellent","Very Good","Very Good","Very Good","Very Good","Excellent","Very Good","Good","Don't Know","Very Good","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Good","Good","Excellent","Good","Very Good","Very Good","Excellent","Now, the classes should be conducted in offline mode. "
"2022/04/12 3:30:06 PM GMT+5:30","Ph.D","Education","CIE, Department of Education, Delhi University","I","Local","Male","SC","Very Good","Very Good","Good","Excellent","Don't know","Very Good","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Excellent","Don't know","Very Good","Good","Excellent","Good","Excellent","Very Good","Very Good","Excellent","Don't know","Very Good","Very Good","Excellent","Very Good","Average","Very Good","Good","Good","Very Good","Excellent","Very Good","Good","Good","Excellent","Excellent","Good","Good","Good","Excellent","Very Good","Excellent","Very Good","Excellent","Very Good","Very Good","University should mention the dates of scholarship form applying including closing date on time."
"2022/04/12 3:31:10 PM GMT+5:30","Masters","Science","Chemistry","I;II","PG/Rented","Male","General","Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Good","Good","Average","Average","Below Average","Below Average","Below Average","Average","Average","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Everything is poor"
"2022/04/12 3:31:32 PM GMT+5:30","Masters","Science","Department of chemistry","II","PG/Rented","Male","OBC","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Average","Excellent","Good","Good","Average","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Average","Excellent","Excellent","Very Good","Very Good","Good","Good","Good","Good","Good","Average","Below Average","Good","Average","Averge","Below Average","Averge","Averge","Below Average","Averge","Below Average","Below Average","Below Average","Averge","Good","Good","No"
"2022/04/12 3:31:34 PM GMT+5:30","Ph.D","Education","Department of Education","III","Local","Female","General","Good","Good","Excellent","Very Good","Excellent","Good","Excellent","Excellent","Excellent","Average","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Average","Average","Good","Very Good","Good","Good","Excellent","Excellent","Average","Average","Average","Average","Average","Good","Average","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent experience


"
"2022/04/12 3:32:08 PM GMT+5:30","Masters","Mathematical Sciences","Statistics","I","NCR","Male","General","Good","Good","Good","Good","Good","Average","Average","Average","Good","Don't know","Average","Don't know","Average","Average","Average","Don't know","Don't know","Don't know","Don't know","Don't know","Below Average","Average","Don't know","Don't know","Don't know","Don't know","Good","Average","Don't Know","Good","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Average","Very Good","Good","Good","Good","Averge","Averge","Good","Good","Good","Good","Good","Good","Good","NA"
"2022/04/12 3:32:14 PM GMT+5:30","Masters","Science","Department of Chemistry","I","Local","Female","General","Below Average","Below Average","Average","Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Average","Average","Good","Good","Below Average","Don't know","Don't know","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Don't Know","Below Average","Don't Know","Below Average","Don't Know","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","No"
"2022/04/12 3:33:19 PM GMT+5:30","Masters","Science","Chemistry Department","I","Other","Female","General","Very Good","Average","Below Average","Good","Good","Good","Good","Average","Average","Don't know","Average","Not applicable","Below Average","Below Average","Below Average","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Below Average","Average","Average","Don't Know","Excellent","Average","Don't Know","Don't Know","Don't Know","Don't Know","Below Average","Averge","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Very Good","As we are first year student so we dont know the facilities in the department very much... but i want to give suggestion that the teaching quality must be improved  and teachers should focus on the basics without thinking that we have done this earlier or not by themself and rather just READING THE NOTES...and also all books are not available online so they should be available as ebook in e library and e library should be easily accesible and this kind of survey should be conducted in regular basis and university placement cell must be improved very importantly and labs should be ac ."
"2022/04/12 3:34:48 PM GMT+5:30","Masters","Science","CHEMISTRY ","I","PG/Rented","Male","OBC","Very Good","Excellent","Average","Excellent","Excellent","Excellent","Excellent","Don't know","Excellent","Don't know","Excellent","Don't know","Very Good","Very Good","Not applicable","Don't know","Don't know","Don't know","Don't know","Don't know","Excellent","Excellent","Don't know","Don't know","Don't know","Don't know","Very Good","Very Good","Very Good","Very Good","Not  Applicable","Not  Applicable","Not  Applicable","Don't Know","Don't Know","Don't Know","Don't Know","Excellent","Excellent","Not Applicable","Very Good","Not Applicable","Excellent","Very Good","Very Good","Not Applicable","Very Good","Excellent","Excellent","I am eagerly waiting for offline classes."
"2022/04/12 3:36:52 PM GMT+5:30","UG","Education","Department of education CIE ","I","Local","Female","SC","Excellent","Average","Average","Average","Excellent","Good","Very Good","Very Good","Very Good","Average","Below Average","Don't know","Don't know","Don't know","Very Good","Average","Average","Average","Below Average","Below Average","Good","Good","Average","Don't know","Below Average","Below Average","Very Good","Very Good","Good","Good","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Very Good","Very Good","Good","Very Good","Very Good","Very Good","Averge","Very Good","Good","Very Good","Very Good","Excellent","Basic facilities like drinking water and clean washroom should be provided "
"2022/04/12 3:37:35 PM GMT+5:30","Masters","Commerce","Department of Commerce","IV","Local","Male","SC","Good","Good","Average","Average","Good","Good","Average","Average","Good","Below Average","Average","Don't know","Average","Good","Below Average","Below Average","Average","Excellent","Average","Below Average","Average","Good","Below Average","Below Average","Good","Below Average","Below Average","Average","Average","Average","Good","Good","Average","Good","Good","Average","Good","Very Good","Very Good","Very Good","Very Good","Good","Excellent","Good","Excellent","Very Good","Very Good","Good","Don't Know","NA"
"2022/04/12 3:37:38 PM GMT+5:30","Masters","Science","Dept of chemistry ","I","Local","Male","General","Below Average","Good","Very Good","Very Good","Very Good","Very Good","Excellent","Very Good","Good","Don't know","Excellent","Don't know","Below Average","Average","Below Average","Don't know","Don't know","Don't know","Don't know","Don't know","Good","Very Good","Excellent","Excellent","Excellent","Excellent","Very Good","Average","Average","Average","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Very Good","Very Good","Good","Good","Very Good","Very Good","Very Good","Averge","Very Good","Excellent","Good","Excellent","Nil"
"2022/04/12 3:38:17 PM GMT+5:30","Masters","Science","Department of Chemistry ","I","PG/Rented","Female","EWS","Very Good","Average","Average","Good","Good","Very Good","Average","Average","Average","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Good","Good","Good","Good","Average","Very Good","Very Good","Good","Good","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Very Good","Good","Very Good","Don't Know","Very Good","Good","Very Good","Very Good","Good","Averge","Very Good","Very Good","Very Good","No"
"2022/04/12 3:39:18 PM GMT+5:30","Masters","Education","Department of Education ","I","Hostel","Male","SC","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Very Good","Very Good","Very Good","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Need to availability of bilingual content "
"2022/04/12 3:39:18 PM GMT+5:30","Ph.D","Education","department of education (CIE)","III","Local","Female","OBC","Not applicable","Not applicable","Very Good","Very Good","Excellent","Don't know","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Very Good","Very Good","Don't know","Average","Good","Very Good","Very Good","Very Good","Very Good","Not applicable","Not applicable","Good","Good","Excellent","Good","Good","Very Good","Good","Very Good","Very Good","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Excellent","Excellent","NONE"
"2022/04/12 3:41:40 PM GMT+5:30","Masters","Mathematical Sciences","Statistics","I","Hostel;PG/Rented","Female","General","Average","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Don't know","Don't know","Not applicable","Below Average","Don't know","Not applicable","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Don't Know","Excellent","Excellent","Don't Know","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Should include python programming language instead of C in our course. We have to learn python by ourselves as it's necessary for job, where as C programming is of no use."
"2022/04/12 3:42:40 PM GMT+5:30","UG","Education","Central institute of education","I","PG/Rented","Male","EWS","Excellent","Excellent","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Very Good","Good","Good","Average","Average","Very Good","Average","Average","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Average","Average","Average","Average","Very Good","Very Good","Good","Very Good","Good","Very Good","Good","Very Good","Very Good","Excellent","Very Good","Very Good","Hostel for students . Nd safe drinking water ."
"2022/04/12 3:46:39 PM GMT+5:30","Masters","Science","Department of chemistry","I","PG/Rented","Male","General","Excellent","Average","Average","Very Good","Good","Average","Average","Average","Good","Not applicable","Average","Average","Below Average","Average","Average","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Good","Good","Below Average","Below Average","Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Average","Good","Student teacher interaction can be better."
"2022/04/12 3:47:41 PM GMT+5:30","Masters","Science","Chemistry","I","NCR","Female","General","Good","Good","Average","Good","Average","Average","Very Good","Average","Good","Good","Average","Not applicable","Don't know","Don't know","Don't know","Good","Average","Average","Good","Average","Good","Good","Don't know","Below Average","Below Average","Good","Good","Average","Good","Good","Good","Good","Very Good","Below Average","Don't Know","Don't Know","Don't Know","Don't Know","Good","Don't Know","Don't Know","Don't Know","Don't Know","Below Average","Below Average","Averge","Don't Know","Good","Excellent","Should promote sports"
"2022/04/12 3:48:51 PM GMT+5:30","Masters","Mathematical Sciences","Department of statistics","I","PG/Rented","Male","EWS","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Very Good","Good"
"2022/04/12 3:50:04 PM GMT+5:30","UG","Education","Department of Education ","I","Hostel","Female","Other","Very Good","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Not applicable","Excellent","Not applicable","Not applicable","Not applicable","Excellent","Good","Average","Very Good","Don't know","Good","Very Good","Very Good","Don't know","Don't know","Excellent","Very Good","Excellent","Very Good","Excellent","Excellent","Don't Know","Don't Know","Don't Know","Not  Applicable","Don't Know","Don't Know","Don't Know","Excellent","Very Good","Not Applicable","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Excellent","Excellent","Excellent","No"
"2022/04/12 3:51:09 PM GMT+5:30","UG","Education","Department of Education ","I;II","PG/Rented","Male","OBC","Very Good","Very Good","Good","Good","Excellent","Average","Average","Average","Very Good","Excellent","Excellent","Very Good","Very Good","Very Good","Very Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Don't know","Very Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Average","Below Average","No suggestions. "
"2022/04/12 3:51:42 PM GMT+5:30","UG","Science","Department of Education ","I;II","NCR","Male","General","Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Average","Average","Canteen is very unhigiene"
"2022/04/12 3:51:44 PM GMT+5:30","Masters","Science","Statistics","IV","Local","Female","General","Good","Average","Good","Good","Good","Good","Average","Average","Average","Average","Good","Average","Average","Average","Average","Average","Average","Good","Good","Average","Average","Average","Average","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Averge","Averge","Good","Good","Good","Very Good","Good","Online mode did not make it possible for new experiences. Offline mode is good"
"2022/04/12 3:58:37 PM GMT+5:30","Masters","Science","Chemistry department","I","Other","Female","OBC","Good","Average","Average","Average","Good","Average","Good","Good","Good","Below Average","Average","Average","Average","Average","Average","Average","Average","Good","Good","Below Average","Average","Average","Good","Good","Good","Good","Very Good","Very Good","Average","Average","Good","Good","Good","Average","Average","Average","Average","Good","Good","Averge","Good","Averge","Good","Averge","Averge","Good","Good","Good","Good","Clean the department more"
"2022/04/12 4:05:09 PM GMT+5:30","UG","Education","Department of education","I","NCR","Male","OBC","Very Good","Average","Below Average","Good","Average","Average","Below Average","Average","Average","Below Average","Below Average","Very Good","Very Good","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Average","Good","Below Average","Very Good","Average","Good","Below Average","Below Average","Good","Good","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Below Average","Below Average","Below Average","Good","Below Average","Averge","Good","Good","Average","Below Average","Cold water is not provided by department, and administrative staff are very lazy, for a simple signature they take 4 to 5 days, student bus pass facility is not good they did not want to make bus pass.... They denied to make student bus pass for 3 month, and 6 month,... Lot of student suffering problems because bus pass staff behaviour is also bad and procedure to make pass is very complicated... Students ko baar baar pass banwana padta hai kyuki pass wala sirf 1 month ka pass bnata hai .. jisse baar baar student ko pass ki lambi line mai lagna padta hai .. aur kai baar unke lectures bhi chutt jate hai ... Aur sports room ke sare equipment ya toh purane hai ya Tut chuke hai lectures ka time 2 hours ka hota hai jisse lectures kafi boring ho jata hai... Lectures mai problems ki depth toh btaya jati hai per unke solution per koi discussion nahi hota ... Practical based lerning mai bhi thodi Kami lagti hai.. lab ke chemical kharab ho chuke hai.. internet connectivity poor hai jisse student ki padhai mai badha hoti hai.. canteen chotti hai usme 20 bacche bhi nahi baith sakte aur upper se canteen ka khana bhi mehga hai. Syllabus per based book available nahi hai jis vajah se har din kisi na kisi book mai se alag alag photocopy karani padti hai.. student ke liye koi proper carriculum nahi hai jisse naye students ke liye chize aasan ho"
"2022/04/12 4:05:34 PM GMT+5:30","Masters","Education","Department of Education, University of Delhi (CIE)","IV","Local","Female","General","Very Good","Good","Good","Good","Very Good","Very Good","Very Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Average","Excellent","Excellent","Good","Not applicable","Don't know","Average","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Not  Applicable","Don't Know","Very Good","Don't Know","Very Good","Very Good","Good","Good","Very Good","Very Good","Very Good","Good","Good","Good","Very Good","Very Good","No suggestions."
"2022/04/12 4:06:47 PM GMT+5:30","Masters","Science","Department of Chemistry ","I","PG/Rented","Female","General","Good","Average","Good","Good","Below Average","Average","Below Average","Below Average","Below Average","Good","Very Good","Below Average","Below Average","Below Average","Below Average","Good","Average","Excellent","Don't know","Don't know","Very Good","Good","Not applicable","Don't know","Below Average","Average","Excellent","Average","Not  Applicable","Not  Applicable","Very Good","Very Good","Below Average","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Good","Below Average","Below Average","Don't Know","Below Average","Good","Averge","Good","Good","Good","Very Good","Excellent"," "
"2022/04/12 4:07:12 PM GMT+5:30","Masters","Science","Department of chemistry ","II","PG/Rented","Female","ST","Good","Good","Good","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Average","Good","Good","Average","Average","Good","Good","Good","Good","Average","Average","Average","Good","Good","Below Average","Average","Below Average","Below Average","Averge","Good","Below Average","Below Average","Good","Averge","Averge","Averge","Averge","Averge","Average","Average","No jobs for bsc graduates "
"2022/04/12 4:10:02 PM GMT+5:30","Masters","Science","Dr Bhim Rao Ambedkar centre for biomedical research ","I","Local","Male","General","Good","Below Average","Average","Below Average","Good","Average","Average","Average","Average","Don't know","Average","Don't know","Average","Don't know","Below Average","Good","Average","Average","Average","Good","Good","Average","Below Average","Don't know","Below Average","Very Good","Very Good","Average","Don't Know","Good","Don't Know","Don't Know","Below Average","Below Average","Don't Know","Below Average","Below Average","Very Good","Good","Below Average","Below Average","Averge","Good","Good","Good","Averge","Averge","Average","Average","Need to work on placement cell for life sciences students(including all biology courses) please invite pharmaceutical,life science or biotech companies for campus placement and for internship programmes because many of us don't know what we can do in our field after completing our master's programme and we feel forced to pursue PhD in order to get jobs in above mentioned companies."
